,experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,job_category,adjusted_salary,salary_range
0,Senior,Full-time,Europe,Full-Remote,Europe,LARGE,Other,85847.0,low
1,Mid/Intermediate level,Contractor,North America,Full-Remote,North America,SMALL,Machine Learning,30000.0,low
2,Mid/Intermediate level,Contractor,North America,Full-Remote,North America,SMALL,Machine Learning,25500.0,low
3,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,175000.0,high
4,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,120000.0,mid
5,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,222200.0,Top
6,Senior,Full-time,North America,On-Site,North America,LARGE,Data Science,136000.0,mid
7,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,219000.0,Top
8,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,141000.0,high
9,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,147100.0,high
10,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,90700.0,low
11,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,130000.0,mid
12,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,100000.0,low
13,Entry level,Full-time,North America,On-Site,North America,LARGE,Data Science,213660.0,Top
14,Entry level,Full-time,North America,On-Site,North America,LARGE,Data Science,130760.0,mid
15,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,147100.0,high
16,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,90700.0,low
17,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,170000.0,high
18,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Science,150000.0,high
19,Mid/Intermediate level,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,150000.0,high
20,Mid/Intermediate level,Full-time,North America,Full-Remote,North America,MEDIUM,Data Engineering,110000.0,mid
21,Senior,Full-time,Europe,On-Site,Europe,MEDIUM,Other,275000.0,Top
22,Senior,Full-time,Europe,On-Site,Europe,MEDIUM,Other,174000.0,high
23,Senior,Full-time,Europe,Full-Remote,Europe,MEDIUM,Data Engineering,230000.0,Top
24,Senior,Full-time,Europe,Full-Remote,Europe,MEDIUM,Data Engineering,143200.0,high
25,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,225000.0,Top
26,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,156400.0,high
27,Senior,Full-time,North America,On-Site,North America,MEDIUM,Machine Learning,200000.0,Top
28,Senior,Full-time,North America,On-Site,North America,MEDIUM,Machine Learning,130000.0,mid
29,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,90000.0,low
30,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,72000.0,low
31,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,253200.0,Top
32,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,90700.0,low
33,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,342810.0,Top
34,Senior,Full-time,North America,On-Site,North America,MEDIUM,Other,184590.0,Top
35,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,162500.0,high
36,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,130000.0,mid
37,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,105380.0,mid
38,Mid/Intermediate level,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,64500.0,low
39,Entry level,Full-time,Africa,Full-Remote,Africa,LARGE,Other,100000.0,low
40,Entry level,Full-time,Africa,Full-Remote,Africa,LARGE,Other,30000.0,low
41,Mid/Intermediate level,Full-time,Asia,Half-Remote,Asia,LARGE,Machine Learning,22830.592,low
42,Entry level,Full-time,North America,On-Site,North America,LARGE,Data Science,204620.0,Top
43,Entry level,Full-time,North America,On-Site,North America,LARGE,Data Science,110680.0,mid
44,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,270703.0,Top
45,Senior,Full-time,North America,On-Site,North America,MEDIUM,Data Engineering,221484.0,Top
46,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,212750.0,Top
47,Senior,Full-time,North America,Full-Remote,North America,MEDIUM,Data Science,185000.0,Top
